backend,threads,writer,lookups_per_sec,mlookups_per_sec
rcu,1,0,3839404,3.839
rcu,2,0,8532299,8.532
rcu,4,0,16945936,16.946
rcu,8,0,31838018,31.838
rcu,16,0,50443006,50.443
rwlock,1,0,4028136,4.028
rwlock,2,0,8449792,8.450
rwlock,4,0,16264069,16.264
rwlock,8,0,28904697,28.905
rwlock,16,0,39588059,39.588
